Test,Iteration,Cycles
w_pmc0,21,62234
w_pmc0,22,63360
w_pmc0,23,63231
w_pmc0,24,63604
w_pmc0,25,63373
w_pmc0,26,63643
w_pmc0,27,63406
w_pmc0,28,62998
w_pmc0,29,63383
w_pmc0,30,63427
w_perf_fixed_ctr0,1,63092
w_perf_fixed_ctr0,2,63305
w_perf_fixed_ctr0,3,63313
w_perf_fixed_ctr0,4,63423
w_perf_fixed_ctr0,5,62071
w_perf_fixed_ctr0,6,63635
w_perf_fixed_ctr0,7,63516
w_perf_fixed_ctr0,8,63455
w_perf_fixed_ctr0,9,62346
w_perf_fixed_ctr0,10,63766
w_perf_fixed_ctr0,11,63149
w_perf_fixed_ctr0,12,63445
w_perf_fixed_ctr0,13,63179
w_perf_fixed_ctr0,14,63032
w_perf_fixed_ctr0,15,63635
w_perf_fixed_ctr0,16,63400
w_perf_fixed_ctr0,17,63033
w_perf_fixed_ctr0,18,62946
w_perf_fixed_ctr0,19,63002
w_perf_fixed_ctr0,20,63039
w_perf_fixed_ctr0,21,62931
w_perf_fixed_ctr0,22,63021
w_perf_fixed_ctr0,23,62968
w_perf_fixed_ctr0,24,63107
w_perf_fixed_ctr0,25,63054
w_perf_fixed_ctr0,26,63491
w_perf_fixed_ctr0,27,63476
w_perf_fixed_ctr0,28,63605
w_perf_fixed_ctr0,29,63538
w_perf_fixed_ctr0,30,63395
