Test,Iteration,Cycles
w_pmc0,21,21518
w_pmc0,22,21527
w_pmc0,23,21511
w_pmc0,24,21472
w_pmc0,25,21645
w_pmc0,26,21524
w_pmc0,27,21482
w_pmc0,28,21563
w_pmc0,29,21515
w_pmc0,30,21484
w_perf_fixed_ctr0,1,21273
w_perf_fixed_ctr0,2,21453
w_perf_fixed_ctr0,3,21300
w_perf_fixed_ctr0,4,21312
w_perf_fixed_ctr0,5,21273
w_perf_fixed_ctr0,6,21292
w_perf_fixed_ctr0,7,21341
w_perf_fixed_ctr0,8,21250
w_perf_fixed_ctr0,9,21276
w_perf_fixed_ctr0,10,21292
w_perf_fixed_ctr0,11,21328
w_perf_fixed_ctr0,12,21117
w_perf_fixed_ctr0,13,21526
w_perf_fixed_ctr0,14,21294
w_perf_fixed_ctr0,15,21438
w_perf_fixed_ctr0,16,21366
w_perf_fixed_ctr0,17,21389
w_perf_fixed_ctr0,18,21272
w_perf_fixed_ctr0,19,21308
w_perf_fixed_ctr0,20,21571
w_perf_fixed_ctr0,21,21274
w_perf_fixed_ctr0,22,21312
w_perf_fixed_ctr0,23,21453
w_perf_fixed_ctr0,24,21285
w_perf_fixed_ctr0,25,21310
w_perf_fixed_ctr0,26,21316
w_perf_fixed_ctr0,27,21269
w_perf_fixed_ctr0,28,21305
w_perf_fixed_ctr0,29,21300
w_perf_fixed_ctr0,30,21321
