Test,Iteration,Cycles
w_pmc0,21,3118
w_pmc0,22,3129
w_pmc0,23,3077
w_pmc0,24,3135
w_pmc0,25,3111
w_pmc0,26,3129
w_pmc0,27,3090
w_pmc0,28,3125
w_pmc0,29,3077
w_pmc0,30,3077
w_perf_fixed_ctr0,1,3116
w_perf_fixed_ctr0,2,3072
w_perf_fixed_ctr0,3,3124
w_perf_fixed_ctr0,4,3122
w_perf_fixed_ctr0,5,3131
w_perf_fixed_ctr0,6,3128
w_perf_fixed_ctr0,7,3128
w_perf_fixed_ctr0,8,3140
w_perf_fixed_ctr0,9,3124
w_perf_fixed_ctr0,10,3112
w_perf_fixed_ctr0,11,3140
w_perf_fixed_ctr0,12,3070
w_perf_fixed_ctr0,13,3155
w_perf_fixed_ctr0,14,3061
w_perf_fixed_ctr0,15,3175
w_perf_fixed_ctr0,16,3133
w_perf_fixed_ctr0,17,3157
w_perf_fixed_ctr0,18,3083
w_perf_fixed_ctr0,19,3116
w_perf_fixed_ctr0,20,3119
w_perf_fixed_ctr0,21,3108
w_perf_fixed_ctr0,22,3113
w_perf_fixed_ctr0,23,3136
w_perf_fixed_ctr0,24,3077
w_perf_fixed_ctr0,25,3142
w_perf_fixed_ctr0,26,3144
w_perf_fixed_ctr0,27,3142
w_perf_fixed_ctr0,28,3141
w_perf_fixed_ctr0,29,3144
w_perf_fixed_ctr0,30,3118
